id,text,help_label
1,"Someone please help us we are stuck on our roof the water is rising fast in downtown area",1
2,"Just felt the ground shake for like 30 seconds straight. That was terrifying.",0
3,"My grandmother is trapped under rubble at 45 Oak Street please send rescue teams immediately",1
4,"Massive fire spreading through the hills right now, sky is completely orange",0
5,"We need water and food badly, been stranded for 2 days after the flood. 3 kids with us",1
6,"Praying for everyone affected by the earthquake. Stay safe out there",0
7,"PLEASE my dad is having a heart attack and the roads are flooded we cant get to hospital someone help",1
8,"The cyclone just ripped the roof off our neighbor's house. Unbelievable destruction",0
9,"Trapped in our apartment building 3rd floor, fire below us, cant get out through stairwell",1
10,"Reports coming in of a 6.2 magnitude earthquake near the coast. Tsunami warning issued.",0
11,"Does anyone have insulin?? My wife is diabetic and we lost all our supplies in the flood",1
12,"Explosion at the chemical plant just shook our entire neighborhood windows shattered everywhere",0
13,"We are 5 people stuck in a car surrounded by floodwater on highway 9 please send boats",1
14,"Can't believe what I'm seeing. The entire block is just gone after that explosion",0
15,"Need urgent medical help my son has a deep cut and is bleeding badly, no ambulance can reach us",1
16,"Watching the wildfire coverage on TV. This is absolutely devastating for those communities",0
17,"Please anyone in the riverside area we need rescue there are elderly people here who cant swim",1
18,"Third earthquake aftershock in the last hour. Buildings are visibly cracked all over downtown",0
19,"Our building collapsed partially, my neighbor is pinned under concrete, we need heavy equipment NOW",1
20,"The cyclone has officially made landfall. Wind speeds exceeding 150mph",0
21,"Running out of baby formula stuck in evacuation shelter someone please bring supplies",1
22,"Firefighters are doing an incredible job battling this blaze. Heroes every single one of them",0
23,"SOS we are on the roof of the school near market street, water level is at second floor",1
24,"Just saw footage of the flood damage. Entire streets turned into rivers. Heartbreaking",0
25,"My mother is trapped alone in her house after the earthquake she cant move please help her at 12 Pine Rd",1
26,"Gas leak reported near the explosion site. Authorities telling everyone to evacuate immediately",0
27,"Desperately need someone to rescue my two dogs from our flooded house on Elm Street",1
28,"Nature is truly terrifying. That cyclone footage is something out of a movie",0
29,"Fire surrounded our farm no way out, 4 adults and 2 children here please send helicopter",1
30,"The earthquake just woke up the entire city. Everyone outside in pajamas at 3am",0
31,"Haven't eaten in 3 days after the cyclone destroyed everything. Anyone bringing food to the south side?",1
32,"Smoke so thick you can barely see 10 feet in front of you. Air quality must be insane right now",0
33,"HELP theres a pregnant woman in labor here and the hospital is inaccessible because of flooding",1
34,"Second explosion heard from the industrial zone. Sirens everywhere. Stay away from that area",0
35,"Can someone bring a generator to Cedar Park shelter? We have people on oxygen who need power",1
36,"Sending love and prayers to everyone dealing with this earthquake aftermath. We will rebuild",0
37,"My leg is broken and im alone in my apartment the staircase collapsed in the quake pls help me",1
38,"Fire department says the wildfire has burned over 10,000 acres since yesterday morning",0
39,"Whole family on the second floor water still rising fast someone with a boat please come to Maple Ave",1
40,"The sound of that explosion was unlike anything I've ever heard. Felt it in my chest",0
41,"Need blood donors type O negative at the emergency clinic near city hall after the earthquake",1
42,"Cyclone season is no joke this year. Stay prepared everyone",0
43,"Stuck under debris cant feel my legs someone please come to the warehouse district building 7",1
44,"Watching ash fall like snow from this wildfire. Surreal and scary",0
45,"We need blankets and dry clothes at the church shelter on 5th street after the flood",1
46,"Just drove through the evacuation zone. Cars abandoned everywhere. Looks like a war zone",0
47,"My child has asthma and the smoke from the fire is making it impossible to breathe need masks or inhaler",1
48,"Power has been out for 18 hours now since the cyclone. No word on when it's coming back",0
49,"Three of us are clinging to a tree in the floodwater near the bridge on route 7 PLEASE HURRY",1
50,"The earthquake cracked the dam upstream. Officials are monitoring it closely",0
51,"Burns on my arms from the fire need medical treatment badly nobody is coming to our area",1
52,"Can we talk about how climate change is making these disasters worse every single year?",0
53,"If anyone has a satellite phone in the flood zone please contact rescue for us at the community center",1
54,"Incredible how fast the floodwaters rose. Streets were dry an hour ago now they're rivers",0
55,"Elderly man alone at 88 Washington Blvd needs evacuation, hes in wheelchair cant leave on his own",1
56,"That explosion lit up the entire sky. People 20 miles away said they heard it",0
57,"Our shelter ran out of drinking water hours ago. Over 200 people here including children pls help",1
58,"Donating to relief efforts today. If you can help even a little it makes a difference",0
59,"Pinned inside my car after the building next to me collapsed from the earthquake someone help me",1
60,"Fire jumped the containment line. Evacuation orders now extended to the entire valley",0
61,"Anyone with a boat in the marina area?? Family of 6 stranded on second floor Adams Street",1
62,"The cyclone is weakening but the damage is already catastrophic. Recovery will take years",0
63,"I'm a nurse trapped in the collapsed clinic on Main St. Several injured patients here need extraction",1
64,"Aftershocks keep coming. Too scared to go back inside any building right now",0
65,"Our water supply is contaminated after the flood. Kids are getting sick need clean water urgently",1
66,"Satellite images of the wildfire spread are just insane. You can see it from space",0
67,"Gas line ruptured in our neighborhood from the quake. Smell is overwhelming, people feeling dizzy, need help",1
68,"Remember to check on your neighbors during disasters especially the elderly and those living alone",0
69,"Diabetic going into shock at the flood evacuation point on harbor road no medics here yet",1
70,"Explosion at the refinery is now a 4-alarm fire. Multiple agencies responding",0
71,"We climbed a cell tower to escape the flood but we cant hold on much longer send rescue to junction road",1
72,"This is the worst fire season anyone can remember. Absolutely devastating",0
73,"Collapsed wall has someone trapped at the old textile factory after the explosion. Can hear them calling",1
74,"Cyclone path shifted. Towns that thought they were safe are now in the direct path",0
75,"Oxygen tank running low for my father on life support. Power out since the cyclone. URGENT HELP NEEDED",1
76,"Volunteers are amazing. Saw people forming human chains to rescue flood victims",0
77,"Im at the rooftop of Grand Hotel with about 30 guests flood has taken the ground floor completely help us",1
78,"The earthquake measured 7.1 according to USGS. Strongest one this region has felt in decades",0
79,"My baby needs formula and diapers desperately we are stuck at the overpass after fleeing the fire",1
80,"Eerie silence after the cyclone passed. Then you hear the damage. Roofs torn off, trees down everywhere",0
81,"Broken arm from earthquake debris still waiting for any kind of medical response at Lincoln Park",1
82,"The floodwater is receding but the mud and destruction left behind is unimaginable",0
83,"Two families stuck in attic at corner of 3rd and Broadway water up to the ceiling of first floor help",1
84,"Local business owners lost everything in the fire. GoFundMe links in my bio if you want to support",0
85,"Need someone to bring epinephrine to the school gym shelter my daughter is having severe allergic reaction",1
86,"Explosion caused a massive crater in the middle of the street. Gas mains are compromised",0
87,"Stranded on a small patch of dry ground with rising water all around us near the old bridge SEND HELP",1
88,"Fire crews from 3 states now deployed. The scale of this wildfire is unprecedented",0
89,"Critical need for tetanus shots at the makeshift hospital after earthquake. Lots of puncture wounds",1
90,"Thinking about all the pets that get separated from families during floods. So sad",0
91,"My house is gone from the cyclone and we are sleeping in our car with 3 kids need shelter anywhere",1
92,"Before and after satellite photos of the earthquake zone are absolutely shocking",0
93,"Bleeding from head wound after explosion debris hit me. Waiting at gas station on commerce blvd for any medic",1
94,"Schools closed indefinitely after the flood. Kids have nowhere to go",0
95,"Fire closing in on our ranch. Livestock still in the barn. If anyone can help us evacuate the animals please",1
96,"The death toll from the earthquake keeps climbing. This is just devastating news",0
97,"Wheelchair bound and alone on my porch as floodwater rises. 240 Cherry Lane. Someone please come",1
98,"Respect to all the first responders working 24 hour shifts during this wildfire. True courage",0
99,"Apartment complex on fire, people jumping from windows. We need more fire trucks at Sunset Towers NOW",1
100,"Cyclone damage assessment is going to take weeks. Infrastructure completely wrecked",0
101,"Lost contact with my sister after earthquake she was in the parking garage on 7th if anyone sees her please",1
102,"Watched the tornado form right in front of us. Never been so scared in my entire life",0
103,"10 month old baby with high fever at flood shelter on Oak Park, no medicine available, anyone can help?",1
104,"Insurance companies are going to have a nightmare dealing with the claims from this fire",0
105,"Buried under rubble but I can reach my phone. I'm at the corner of 5th and Main near the bank building",1
106,"The sound of the cyclone at its peak was like a freight train that wouldn't stop. Absolutely terrifying",0
107,"Flood cut off our village completely. No road access, no phone signal except this one spot. 50+ people need evacuation",1
108,"Property values in the fire zone are going to crater. Feel terrible for homeowners",0
109,"My grandfather is missing since the earthquake. Last seen near the collapsed market on King Street please help find him",1
110,"Amazing to see communities coming together after the flood. People helping strangers without hesitation",0
111,"Chemical burns from explosion debris. Eyes are burning badly. Nearest hospital is destroyed. Where do I go??",1
112,"Mandatory evacuation order now covers the entire county due to wildfire spread",0
113,"We are 8 construction workers stuck on scaffolding, building partially collapsed from quake, cant get down",1
114,"Just donated blood for earthquake victims. If you're able to please do the same",0
115,"Floodwater brought snakes into our shelter and a child was bitten need antivenom immediately",1
116,"Every time I see wildfire footage I think about the wildlife that has nowhere to go. Heartbreaking",0
117,"Husband trapped in elevator in partially collapsed building after earthquake. 900 block of Victoria Ave PLS HELP",1
118,"Power grid took a massive hit from the cyclone. Could be weeks before full restoration",0
119,"Running low on heart medication at the evacuation center on Springfield Road. Anyone have atenolol?",1
120,"These floods are a direct consequence of poor urban planning and deforestation. We need to do better",0
121,"Fire engulfed the entire east wing of our apartment. Family of 4 trapped on the balcony west side HELP",1
122,"Search and rescue dogs are incredible. Watched one locate a survivor under 6 feet of rubble",0
123,"Please we need tarps and plastic sheeting at the cyclone shelter. Rain is getting in and people are soaked",1
124,"The explosion registered on seismographs 50 miles away. That tells you how massive it was",0
125,"Asthma attack getting worse from wildfire smoke. No inhaler. Stuck at rest stop off exit 14 someone please",1
126,"Boil water advisory issued for the entire flood-affected region. Do not drink tap water",0
127,"Group of hikers stranded on the ridge trail by wildfire. 6 of us. No way down. Need air rescue",1
128,"Haven't slept in two days because of earthquake aftershocks. Every little tremor sends your heart racing",0
129,"Severe dehydration hitting elderly at our flood shelter. No water delivery for over 24 hours someone please bring water",1
130,"Drone footage of the cyclone aftermath is just unreal. Entire neighborhoods flattened",0
131,"Carbon monoxide filling our basement after explosion damaged the ventilation. 3 people unconscious need paramedics at 67 Lake Dr",1
132,"Remember the earthquake in 2019? This one is even worse. Unbelievable",0
133,"I can see people waving from rooftops all along River Road but no boats are coming someone coordinate rescue please",1
134,"Wildlife sanctuary completely burned down in the fire. All those animals. I can't stop crying",0
135,"Crushed leg from fallen beam in earthquake. Losing a lot of blood. Corner of Davis and Park. ANYONE",1
136,"The government response to this flood has been embarrassingly slow. People are suffering",0
137,"Baby born at the cyclone shelter 2 hours ago. Mother bleeding heavily. No medical staff here. HELP US",1
138,"Red Cross has set up relief stations at three locations. Check their website for details",0
139,"Gas leak after the earthquake and we can't evacuate because my wife can't walk. 55 Birch Lane please send help",1
140,"Just realized how unprepared I was for this flood. Everyone needs an emergency kit ready at all times",0
141,"Fire jumped to our street. Garden hose isn't going to cut it. Family evacuating on foot toward the park NEED PICKUP",1
142,"Satellite imagery shows the flood covers an area larger than some small countries. Staggering scale",0
143,"Dialysis patient at Valley View shelter hasn't had treatment in 3 days. This is life threatening someone please arrange transport",1
144,"The courage of ordinary people during disasters always restores my faith in humanity",0
145,"Explosion shrapnel hit several of us near the factory gates. Multiple injuries. No ambulance yet. Industrial Blvd entrance",1
146,"Cell towers down across the entire region after the cyclone. Communication is nearly impossible",0
147,"Trapped in a storm drain after the flood swept me in. Can see daylight above but can't climb out. Near the mall",1
148,"Teachers sheltered 200 kids during the earthquake and kept every single one safe. Give those teachers a raise",0
149,"Critical shortage of tourniquets and bandages at the earthquake field hospital on Grant Ave. Medical supplies needed ASAP",1
150,"Fire danger remains extreme today. Please do not use any open flames or fireworks",0
151,"Clinging to a telephone pole as flood rushes past. Getting weaker. Between 4th and 5th on River Rd help me",1
152,"Mental health support is so important after disasters. Don't forget to check in on people emotionally too",0
153,"Toddler with severe diarrhea at flood camp needs oral rehydration salts or IV fluids immediately",1
154,"Firefighters working without sleep, eating on the move. Absolute legends",0
155,"Hearing voices under the rubble at the collapsed apartment on Bedford St. Multiple people still alive need rescue teams",1
156,"The economic impact of this cyclone will be felt for a generation. Billions in damage",0
157,"Lost my wheelchair in the flood and I'm sitting in mud. Someone please help me get to shelter. Near the overpass on route 3",1
158,"Time lapse video of the fire spreading through the canyon is both beautiful and horrifying",0
159,"Need rescue helicopter at Mt Vista trailhead. Forest fire blocked all exits. 12 campers including children",1
160,"The earthquake damaged the water treatment plant. Might be days before safe water is restored",0
161,"Please someone help my cat is stuck on the second floor of our flooded house on Willow Lane I cant get back in",1
162,"Every disaster reminds us how fragile our infrastructure really is. We need to invest in resilience",0
163,"Explosion caused partial building collapse. At least 4 of us trapped in the stairwell. 200 Commerce Way floor 3",1
164,"Incredible moment caught on camera of a man rescuing a dog from the floodwaters. Heroes walk among us",0
165,"Haven't had clean water for 4 days since cyclone. Drinking rainwater but kids are getting sick. Need help at Coconut Grove area",1
166,"Comparing this earthquake to historical ones and it's among the top 10 strongest ever recorded here",0
167,"Severe chest pain after inhaling explosion fumes. Others here also coughing blood. Factory district needs medics NOW",1
168,"Neighbors evacuating with just the clothes on their backs. This fire is taking everything",0
169,"12 people on a collapsing roof. Structure cracking from flood pressure. Urgent rescue needed at Old Mill building riverside",1
170,"The before and after photos of this flood tell the whole story. Devastating doesn't begin to describe it",0
171,"Teen with broken ribs from earthquake debris having trouble breathing. At the park on Chestnut, no medics in sight",1
172,"If you're in a safe area consider opening your home to displaced families from the fire zones",0
173,"SOS from rooftop of Harbor Point apartments. Over 20 residents trapped by flood. Children and elderly. Water still rising",1
174,"This cyclone season has broken multiple records already and we're only halfway through",0
175,"Need someone with chainsaw skills. Trees blocking the road to our injured neighbor after the cyclone. Oakdale Lane",1
176,"Watching the news coverage of the earthquake rescue efforts. Every life saved is a miracle",0
177,"Woman in labor at the flooded intersection of King and George. Ambulance can't get through. Any doctors nearby??",1
178,"The smell after a flood recedes is something nobody warns you about. Mold and decay everywhere",0
179,"Burns covering both arms from wildfire. Skin peeling off. At the junction rest area. Please send medical help immediately",1
180,"Scientists warned about this exact earthquake fault line for years. Nobody listened",0
181,"Group of seniors at Sunrise nursing home abandoned during flood evacuation. Staff left. 15 residents need help NOW",1
182,"Just felt another aftershock. When does this end. Sleeping outside for the third night",0
183,"Factory worker here. Colleague lost his hand in the explosion. We stopped the bleeding but he needs surgery ASAP. Gate B entrance",1
184,"The resilience of people who rebuild after every disaster is both inspiring and heartbreaking",0
185,"Floodwater contaminated with sewage and chemicals. Getting skin rashes and infections. Need medical supplies at Community Hall",1
186,"Air quality index off the charts from the wildfire smoke. Stay indoors if you can",0
187,"Partially deaf from the explosion blast. Ears bleeding. Sitting on curb outside what used to be the warehouse. Need medic",1
188,"Donating old clothes and non-perishables to the cyclone relief drive. Every bit helps",0
189,"Flood took our car and everything inside. Family of 5 at the bridge overpass with nothing. Please someone",1
190,"The earthquake exposed how many buildings were not up to code. Criminal negligence",0
191,"Fire is 50 meters from our property. Hose pressure dropping. If we lose water we lose everything. Need fire dept at Hilltop Ranch",1
192,"These floods remind me why I always keep an emergency bag packed by the door",0
193,"Collapse at the shopping center from earthquake. Can hear people screaming from under the debris. Northgate Mall please send crews",1
194,"Volunteers distributing hot meals at the cyclone shelter. Thank you to everyone who cooked and contributed",0
195,"Stuck waist deep in mud after the flood. Cant free myself. Getting hypothermic. Near the train tracks south of town HELP",1
196,"The way this fire moves with the wind is genuinely scary. Embers flying a mile ahead of the fire line",0
197,"4 year old separated from parents during flood evacuation. She's with us at the church on MLK Blvd. Please spread the word",1
198,"City council needs to answer for why the levees failed. This flood was preventable",0
199,"Explosion knocked me unconscious. Woke up alone in the rubble. Think my back is broken. Near the loading dock at Port Industrial",1
200,"The human spirit is remarkable. Even in the worst disasters people find ways to help each other",0